occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color
3196,Vespa velutina,NA,"Avenue Carnot, Biarritz, Nouvelle-Aquitaine, FR",inat,-1.56,43.48,15.042307692307702,173.46153846153845,10,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
3197,Vespa velutina,NA,"Carrer d'Olot, Barcelona, Barcelona, ES",inat,2.15,41.41,15.757692307692366,69.15384615384616,145,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912
3198,Vespa velutina,BE,NA,gbif,5.01,50.91,11.273076923076928,50,50,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3199,Vespa velutina,BE,NA,gbif,5.59,51.04,NA,NA,76,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3200,Vespa velutina,BE,NA,gbif,3.37,50.85,11.411538461538498,57.46153846153846,13,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3201,Vespa velutina,NA,"Jachtlaan, Edegem, Antwerp, BE",inat,4.42,51.17,NA,NA,13,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
3202,Vespa velutina,BE,NA,gbif,3.72,51.17,11.434615384615428,61.61538461538461,5,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3203,Vespa velutina,BE,NA,gbif,4.28,50.9,11.180769230769217,59.61538461538461,59,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3204,Vespa velutina,BE,NA,gbif,4.43,51.21,11.442307692307793,58.69230769230769,9,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
3205,Vespa velutina,NA,"Naturpark Hohes Venn – Eifel, Kall, Nordrhein-Westfalen, DE",inat,6.56,50.52,9.342307692307712,62.38461538461539,457,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301
3206,Vespa velutina,BE,NA,gbif,4.26,51.22,11.426923076923115,59.92307692307692,3,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3207,Vespa velutina,BE,NA,gbif,4.87,50.98,11.457692307692357,49.92307692307692,27,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C
3208,Vespa velutina,BE,NA,gbif,4.36,51.15,11.411538461538557,58.38461538461539,15,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500
3209,Vespa velutina,NA,2427 Luxemburg,inat,6.14,49.61,NA,NA,295,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E
3210,Vespa velutina,BE,NA,gbif,3.8,50.98,11.403846153846246,57.30769230769231,19,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36
3211,Vespa velutina,BE,NA,gbif,3.45,51.05,11.373076923076953,61.69230769230769,13,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3212,Vespa velutina,BE,NA,gbif,4.38,51.1,NA,NA,10,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3213,Vespa velutina,NA,"Paris, Île-de-France, FR",inat,2.34,48.83,12.373076923076953,52.30769230769231,59,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34
3214,Vespa velutina,BE,NA,gbif,5.35,50.96,11.473076923076974,50.53846153846154,35,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3215,Vespa velutina,BE,NA,gbif,5.38,51.24,11.349999999999966,52.23076923076923,42,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
