occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color,NDVI
69,Vespa crabro,NL,NA,gbif,5.35,51.7,11.157692307692344,64.15384615384616,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.7191125
71,Vespa crabro,NL,NA,gbif,5.25,51.8,NA,NA,3,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5984708333333333
76,Vespa crabro,NA,"Rives Dervoises, Grand Est, FR",inat,4.77,48.53,12.17307692307702,67.3076923076923,133,166,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,45,158,6,Warm Temperate Moist Forest on Plains,#2D9E06,0.6483666666666666
79,Vespa crabro,GB,NA,gbif,-5.09,50.29,11.311538461538532,99.15384615384616,67,178,Warm Temperate,Moist,Cropland,Tablelands,Warm Temperate Moist,61,89,194,Warm Temperate Moist Cropland on Tablelands,#3D59C2,0.5527458333333334
81,Vespa crabro,NL,NA,gbif,7.1,52.9,10.319230769230842,69.6923076923077,8,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5671291666666667
83,Vespa crabro,NA,"38 Braunschweig-Wabe-Schunter-Beberbach, Deutschland",inat,10.59,52.27,10.357692307692332,44.23076923076923,83,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.5358333333333333
94,Vespa crabro,NA,"Hostivice, Česko",inat,14.25,50.07,9.42692307692306,50.69230769230769,374,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.6352916666666667
95,Vespa crabro,NA,"Granada, España",inat,-3.55,37.26,12.18846153846158,53.69230769230769,1289,194,Warm Temperate,Dry,Forest,Mountains,Warm Temperate Dry,96,139,37,Warm Temperate Dry Forest on Mountains,#608B25,0.5637583333333334
108,Vespa crabro,AT,NA,gbif,15.87,46.82,10.21153846153851,71.23076923076923,275,103,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,33,102,5,Cool Temperate Moist Cropland on Mountains,#216605,0.43546666666666667
117,Vespa crabro,NL,NA,gbif,4,51.4,11.426923076923115,65.07692307692308,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6332875
120,Vespa crabro,NA,"Rissener Ufer, Hamburg, Hamburg, DE",inat,9.75,53.56,10.18846153846158,60.53846153846154,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6883666666666667
134,Vespa crabro,DE,NA,gbif,7,50.84,11.703846153846143,53,51,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36,0.3388125
137,Vespa crabro,NA,"80014 Lago Patria NA, Italia",inat,14.03,40.92,17.088461538461615,70.23076923076923,10,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.654075
141,Vespa crabro,DE,NA,gbif,6.67,49.68,9.41923076923075,75.76923076923077,392,103,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,33,102,5,Cool Temperate Moist Cropland on Mountains,#216605,0.58065
151,Vespa crabro,NA,"Maldon CM9, UK",inat,0.68,51.73,11.07307692307694,49.46153846153846,6,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E,0.40379583333333335
153,Vespa crabro,DE,NA,gbif,11.62,48.08,9.334615384615404,80.92307692307692,548,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.7158208333333334
160,Vespa crabro,PL,NA,gbif,16.93,52.42,9.634615384615415,41.92307692307692,72,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6144499999999999
165,Vespa crabro,NL,NA,gbif,5.65,51.7,11.103846153846176,64.92307692307692,22,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5959041666666667
166,Vespa crabro,DE,NA,gbif,9.36,48.61,10.480769230769283,57.61538461538461,331,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000,0.5236791666666667
170,Vespa crabro,DE,NA,gbif,8.25,51.96,10.788461538461547,59.53846153846154,67,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.41176666666666667
178,Vespa crabro,NA,"Richmond, England, GB",inat,-0.29,51.48,11.173076923076906,62.84615384615385,11,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.7027416666666667
185,Vespa crabro,NA,"Colle Aperto fr.4, 24129 Bergamo BG, Italia",inat,9.66,45.71,12.75,99.53846153846152,315,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903,0.45048333333333335
191,Vespa crabro,NL,NA,gbif,4.7,51.8,11.111538461538489,71.92307692307692,0,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6213583333333333
193,Vespa crabro,FR,NA,gbif,0.85,49.41,12.08076923076925,60.61538461538461,20,168,Warm Temperate,Moist,Cropland,Hills,Warm Temperate Moist,112,198,86,Warm Temperate Moist Cropland on Hills,#70C656,0.6749208333333334
195,Vespa crabro,DE,NA,gbif,10.07,52.18,10.357692307692275,50,99,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.3388125
201,Vespa crabro,NA,Muiden,inat,5.07,52.36,10.873076923076953,74.53846153846153,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5192916666666667
204,Vespa crabro,DE,NA,gbif,7.07,51.1,10.873076923077008,80.6923076923077,153,129,Cool Temperate,Moist,Settlement,Tablelands,Cool Temperate Moist,47,63,130,Cool Temperate Moist Settlement on Tablelands,#2F3F82,0.5801708333333333
211,Vespa crabro,DE,NA,gbif,13.33,52.48,10.434615384615428,40.46153846153846,46,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6555541666666667
218,Vespa crabro,NL,NA,gbif,5.35,52.15,10.88846153846157,71.84615384615384,9,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.3200625
229,Vespa crabro,NL,NA,gbif,6.5,53.15,10.196153846153834,72.15384615384616,-1,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.7284166666666666
241,Vespa crabro,NA,"9551, Austria",inat,13.97,46.68,10.18846153846158,112.92307692307692,647,103,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,33,102,5,Cool Temperate Moist Cropland on Mountains,#216605,0.6926916666666667
242,Vespa crabro,AT,NA,gbif,16.38,48.19,10.857692307692332,55,201,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34,0.6487416666666667
243,Vespa crabro,DE,NA,gbif,13.42,52.51,10.403846153846246,41,41,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.2262125
251,Vespa crabro,NA,"16792 Zehdenick-Mildenberg, Deutschland",inat,13.31,53.03,9.865384615384642,43.61538461538461,48,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5311541666666667
261,Vespa crabro,PT,NA,gbif,-8.62,39.42,15.842307692307712,51.84615384615385,91,178,Warm Temperate,Moist,Cropland,Tablelands,Warm Temperate Moist,61,89,194,Warm Temperate Moist Cropland on Tablelands,#3D59C2,0.7143833333333334
270,Vespa crabro,DE,NA,gbif,7.47,52.05,10.711538461538453,67.07692307692308,81,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.7266958333333333
277,Vespa crabro,DE,NA,gbif,8.93,48.48,10.44230769230768,54.15384615384615,394,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E,0.5826625
278,Vespa crabro,NA,"Doua, Lyon, France",inat,4.88,45.78,13.39615384615388,61.69230769230769,181,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.5548791666666667
279,Vespa crabro,DE,NA,gbif,7.6,50.45,10.303846153846166,60.07692307692308,260,107,Cool Temperate,Moist,Grassland,Mountains,Cool Temperate Moist,26,83,0,Cool Temperate Moist Grassland on Mountains,#1A5300,0.5254208333333333
291,Vespa crabro,NA,"Innsbruck, Österreich",inat,11.33,47.27,8.988461538461536,82.92307692307692,1092,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000,0.5969125
292,Vespa crabro,AT,NA,gbif,16.46,48.45,10.080769230769306,56.53846153846154,280,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.6969708333333333
294,Vespa crabro,DE,NA,gbif,8.78,49.25,11.01923076923083,61.76923076923077,198,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E,0.5081916666666667
297,Vespa crabro,AT,NA,gbif,12.76,46.81,9.273076923076928,101.15384615384616,947,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000,0.5146999999999999
303,Vespa crabro,FR,NA,gbif,7.77,48.62,12.119230769230851,55.69230769230769,136,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.6493958333333333
309,Vespa crabro,NA,"Penafiel, Portugal",inat,-8.36,41.12,14.873076923076953,136.15384615384616,257,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903,0.4909
311,Vespa crabro,NA,Burok-völgy,inat,18.11,47.25,9.665384615384651,49.46153846153846,414,101,Cool Temperate,Moist,Forest,Tablelands,Cool Temperate Moist,71,89,181,Cool Temperate Moist Forest on Tablelands,#4759B5,0.39045416666666666
316,Vespa crabro,AT,NA,gbif,16.1,46.95,10.07307692307694,67.92307692307692,286,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.42746666666666666
319,Vespa crabro,NA,"Зайдниц, 01 Дрезден-Блазевиц, Германия",inat,13.81,51.03,10.38846153846157,47.46153846153846,111,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6716791666666666
326,Vespa crabro,GB,NA,gbif,-1.58,52.28,10.52692307692314,61,58,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6517916666666667
331,Vespa crabro,AT,NA,gbif,16.32,47.98,10.980769230769283,55.07692307692308,211,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6551625
337,Vespa crabro,FI,NA,gbif,23.39,59.93,7.71153846153851,66.23076923076923,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530525
344,Vespa crabro,HU,NA,gbif,19.22,47.53,10.965384615384664,46.69230769230769,171,190,Warm Temperate,Dry,Cropland,Hills,Warm Temperate Dry,153,217,128,Warm Temperate Dry Cropland on Hills,#99D980,0.5906208333333334
348,Vespa crabro,FR,NA,gbif,5.11,48.6,11.557692307692378,74.61538461538461,242,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.6057416666666666
349,Vespa crabro,NA,"Ленинский район, Брест, Брестская область, Беларусь",inat,23.67,52.08,9.065384615384689,50.23076923076923,135,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.47315
357,Vespa crabro,NL,NA,gbif,4.6,52.4,10.988461538461593,86.84615384615384,14,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.44864166666666666
373,Vespa crabro,DK,NA,gbif,11.69,55.71,9.303846153846225,46.23076923076923,10,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.48185416666666664
374,Vespa crabro,FR,NA,gbif,1.58,47.7,12.865384615384642,51,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5973708333333333
378,Vespa crabro,NL,NA,gbif,5.85,50.85,11.319230769230842,64.84615384615384,116,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.34092916666666667
379,Vespa crabro,NL,NA,gbif,4.9,51.5,11.19615384615389,66.38461538461539,23,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.39045416666666666
386,Vespa crabro,DK,NA,gbif,11.4,55.61,9.311538461538532,48.23076923076923,49,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.39218333333333333
393,Vespa crabro,NA,"Powiat grodziski, Polska",inat,20.69,51.99,9.042307692307702,60.23076923076923,160,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.5459833333333334
407,Vespa crabro,NA,"Niwbwrch, Llanfairpwllgwyngyll LL61 6SN, UK",inat,-4.36,53.17,10.650000000000034,127.23076923076924,14,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500,0.48209583333333333
413,Vespa crabro,NL,NA,gbif,4.6,52.1,11.06538461538463,76.84615384615384,-4,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5357916666666667
422,Vespa crabro,DE,NA,gbif,6.93,51.68,11.157692307692344,58.53846153846154,41,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6210666666666667
424,Vespa crabro,NL,NA,gbif,5.45,51.85,11.080769230769306,66.23076923076923,3,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500,0.6282625000000001
445,Vespa crabro,NL,NA,gbif,6,53.1,10.296153846153857,73.53846153846153,-2,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500,0.6740041666666666
449,Vespa crabro,DE,NA,gbif,7.62,52.09,10.88846153846157,63.07692307692308,45,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.47055416666666666
450,Vespa crabro,NA,"Route du Breuil, Graveson, Provence-Alpes-Côte d'Azur, FR",inat,4.75,43.82,15.826923076923038,34.23076923076923,0,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36,0.39045416666666666
452,Vespa crabro,NL,NA,gbif,5.55,52.95,10.803846153846166,72.76923076923077,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48185416666666664
457,Vespa crabro,ES,NA,gbif,-5.51,39.55,15.01153846153852,69.76923076923077,634,194,Warm Temperate,Dry,Forest,Mountains,Warm Temperate Dry,96,139,37,Warm Temperate Dry Forest on Mountains,#608B25,0.6885125
458,Vespa crabro,SE,NA,gbif,18.71,59.76,7.896153846153879,49.84615384615385,21,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5628833333333333
461,Vespa crabro,AT,NA,gbif,15.52,47.13,9.026923076923085,76.23076923076923,500,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000,0.6557208333333333
473,Vespa crabro,NA,"8323 Tirschenberg, Österreich",inat,15.72,47.02,9.596153846153868,75.84615384615384,376,102,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,99,97,160,Cool Temperate Moist Cropland on Tablelands,#6361A0,0.7338041666666667
477,Vespa crabro,NA,"Boyton, Suffolk (imprecise location to obscure my garden)",inat,1.47,52.07,11.034615384615392,56.30769230769231,9,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5238041666666666
480,Vespa crabro,DE,NA,gbif,10.99,49.43,9.88846153846157,48.92307692307692,308,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.5540041666666666
493,Vespa crabro,NA,"Plévenon, Bretagne, FR",inat,-2.31,48.67,12.303846153846166,81,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6126958333333333
494,Vespa crabro,NL,NA,gbif,5.6,51.45,11.311538461538476,58.15384615384615,21,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5806875
499,Vespa crabro,NA,"00060 Canale Monterano RM, Italia",inat,12.05,42.13,NA,NA,234,171,Warm Temperate,Moist,Grassland,Mountains,Warm Temperate Moist,86,129,14,Warm Temperate Moist Grassland on Mountains,#56810E,0.491175
502,Vespa crabro,DE,NA,gbif,13.81,51.19,10.126923076923106,47.92307692307692,185,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.49748333333333333
504,Vespa crabro,NL,NA,gbif,6.2,52.1,10.903846153846189,63.38461538461539,7,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500,0.5304583333333334
516,Vespa crabro,DE,NA,gbif,6.44,49.86,10.526923076923085,63,306,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.5614166666666667
524,Vespa crabro,NL,NA,gbif,6.4,51.9,11.050000000000011,58.61538461538461,15,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.730175
526,Vespa crabro,FR,NA,gbif,4.83,43.79,15.52692307692314,36.69230769230769,86,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912,0.5984708333333333
528,Vespa crabro,DE,NA,gbif,13.53,52.75,9.91923076923075,43.92307692307692,80,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.539875
531,Vespa crabro,DE,NA,gbif,8.96,49.73,10.503846153846156,62.30769230769231,285,103,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,33,102,5,Cool Temperate Moist Cropland on Mountains,#216605,0.6968833333333333
539,Vespa crabro,NA,"Sierra Nevada National Park, Plaza Andalucia, Edificio, Local 1, 18196 Sierra Nevada, Granada, Spain",inat,-3.37,36.96,12.511538461538464,44.07692307692308,1573,184,Warm Temperate,Dry,Cropland,Mountains,Warm Temperate Dry,141,179,80,Warm Temperate Dry Cropland on Mountains,#8DB350,0.49435
549,Vespa crabro,UA,NA,gbif,24.7,48.9,9.35000000000008,68.53846153846153,265,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5396541666666667
554,Vespa crabro,NL,NA,gbif,5.9,51.95,NA,NA,6,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6382708333333333
555,Vespa crabro,NA,"Vilniaus r. sav., Lietuva",inat,25.1,54.69,7.950000000000045,47.69230769230769,146,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.7245375000000001
564,Vespa crabro,DE,NA,gbif,9.49,53.58,10.142307692307725,60.23076923076923,6,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6197625
577,Vespa crabro,NL,NA,gbif,5.9,50.75,10.819230769230783,65.76923076923077,201,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.4529458333333333
579,Vespa crabro,DE,NA,gbif,10.77,53.91,9.88846153846157,54.53846153846154,15,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.49291666666666667
588,Vespa crabro,DE,NA,gbif,9.22,50.36,9.78846153846149,70.3076923076923,319,114,Cool Temperate,Moist,Grassland,Hills,Cool Temperate Moist,22,124,10,Cool Temperate Moist Grassland on Hills,#167C0A,0.7678041666666666
589,Vespa crabro,DE,NA,gbif,9.77,52.03,10.342307692307712,52.92307692307692,104,103,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,33,102,5,Cool Temperate Moist Cropland on Mountains,#216605,0.6378041666666666
599,Vespa crabro,FR,NA,gbif,1.9,47.9,12.473076923076974,54.30769230769231,103,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.4343416666666667
602,Vespa crabro,NL,NA,gbif,6.15,52.1,NA,NA,10,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5470458333333333
605,Vespa crabro,DK,NA,gbif,10.05,56.21,8.819230769230785,54.61538461538461,66,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6354083333333334
606,Vespa crabro,NL,NA,gbif,6.1,52.5,NA,NA,2,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6557208333333333
610,Vespa crabro,NA,"21190, Lietuva",inat,24.7,54.57,7.980769230769226,50.53846153846154,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5917333333333333
617,Vespa crabro,NA,"Navas de Estena, 13194, Ciudad Real, Spain",inat,-4.53,39.49,14.950000000000044,50,707,186,Warm Temperate,Dry,Grassland,Mountains,Warm Temperate Dry,132,162,55,Warm Temperate Dry Grassland on Mountains,#84A237,0.5584208333333334
618,Vespa crabro,NA,"Region Hannover, DE-NI, DE",inat,9.65,52.26,10.211538461538453,50.92307692307692,114,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.6073125
619,Vespa crabro,NA,"Purleigh, Chelmsford, England, GB",inat,0.64,51.7,10.950000000000044,53.23076923076923,46,114,Cool Temperate,Moist,Grassland,Hills,Cool Temperate Moist,22,124,10,Cool Temperate Moist Grassland on Hills,#167C0A,0.5720041666666666
620,Vespa crabro,NA,"22100 Como CO, Italia",inat,9.07,45.82,14.096153846153868,99.23076923076924,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663875
625,Vespa crabro,NL,NA,gbif,6.9,52.75,10.373076923076953,71.07692307692308,18,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.64715
