occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m
3433,Vespa velutina,BE,NA,gbif,4.44,50.97,11.480769230769283,54.15384615384615,10
3434,Vespa velutina,NA,"Atletenbaan, Maastricht, Limburg, NL",inat,5.72,50.86,11.496153846153902,59.38461538461539,51
3435,Vespa velutina,NA,"HOVELANGE, Bei Bitzesch, 8538 Hovelingen Beckerich, Luxemburg",inat,5.91,49.72,10.203846153846143,65.6923076923077,342
3436,Vespa velutina,NL,NA,gbif,6,51.25,NA,NA,18
3437,Vespa velutina,BE,NA,gbif,4.48,51.12,11.457692307692357,56.76923076923077,13
3438,Vespa velutina,BE,NA,gbif,4.72,50.93,11.488461538461593,48.30769230769231,14
3439,Vespa velutina,NL,NA,gbif,5.75,51.35,11.38076923076926,57.07692307692308,27
3440,Vespa velutina,BE,NA,gbif,4.29,50.81,11.365384615384698,55.76923076923077,20
3441,Vespa velutina,NA,"Route de l'Aérodrome, Avignon, Provence-Alpes-Côte d'Azur, FR",inat,4.88,43.92,NA,NA,27
3442,Vespa velutina,BE,NA,gbif,3.77,51.1,11.434615384615428,59.92307692307692,6
3443,Vespa velutina,DE,NA,gbif,6.15,51.04,11.403846153846189,54.30769230769231,60
3444,Vespa velutina,NA,Geel,inat,5.01,51.16,11.426923076923115,53.30769230769231,21
3445,Vespa velutina,NL,NA,gbif,4.7,51.65,11.211538461538453,69.6923076923077,-4
3446,Vespa velutina,BE,NA,gbif,3.77,50.95,11.33461538461546,56.76923076923077,28
3447,Vespa velutina,NA,"Rue Nationale 20, Saran, Centre-Val de Loire, FR",inat,1.89,47.96,12.357692307692275,55.46153846153846,126
3448,Vespa velutina,BE,NA,gbif,5.47,50.85,11.25769230769231,56,72
3449,Vespa velutina,BE,NA,gbif,4.44,51.03,11.503846153846212,54.76923076923077,4
3450,Vespa velutina,BE,NA,gbif,3.91,50.99,11.442307692307736,56.61538461538461,15
3451,Vespa velutina,BE,NA,gbif,4.61,51.39,NA,NA,16
3452,Vespa velutina,BE,NA,gbif,4.97,51.15,NA,NA,21
3453,Vespa velutina,NL,NA,gbif,5.75,50.95,11.511538461538464,60.46153846153846,42
3454,Vespa velutina,BE,NA,gbif,2.95,51.09,11.473076923076974,71.38461538461539,7
3455,Vespa velutina,NA,"81540 Sorèze, France",inat,2.13,43.43,NA,NA,681
3456,Vespa velutina,NA,"Avinguda de Santa Margarida, La Garriga, Barcelona, ES",inat,2.3,41.68,14.2038461538462,68.07692307692308,325
3457,Vespa velutina,NA,"34200 Sète, France",inat,3.7,43.41,15.580769230769306,29.307692307692307,6
3458,Vespa velutina,BE,NA,gbif,5.26,50.94,11.47307692307703,49.30769230769231,29
3459,Vespa velutina,NL,NA,gbif,4.6,51.55,NA,NA,8
3460,Vespa velutina,NL,NA,gbif,4.35,52.1,NA,NA,4
3461,Vespa velutina,NA,"77470 Trilport, France",inat,2.95,48.96,12.326923076923094,54.76923076923077,62
3462,Vespa velutina,NA,"5344 ST Oss, Nederland",inat,5.51,51.76,11.111538461538489,65.23076923076923,9
3463,Vespa velutina,NA,"Essonne, Île-de-France, FR",inat,2.5,48.62,12.357692307692332,56.61538461538461,73
3464,Vespa velutina,NL,NA,gbif,4.25,52.05,NA,NA,2
3465,Vespa velutina,NL,NA,gbif,5.5,51.6,NA,NA,10
3466,Vespa velutina,NA,"Rue de Corcelles, Izeure, Bourgogne-Franche-Comté, FR",inat,5.11,47.18,12.488461538461593,63.23076923076923,200
3467,Vespa velutina,NA,"Eurovélo 1 - Atlantique Coast Route, Angoulins, Nouvelle-Aquitaine, FR",inat,-1.12,46.11,13.857692307692332,73.38461538461539,4
3468,Vespa velutina,NL,NA,gbif,5.75,50.95,NA,NA,42
3469,Vespa velutina,NA,"St Nikolaus, 79112 Freiburg im Breisgau-Opfingen, Deutschland",inat,7.73,48.01,12.050000000000011,71.84615384615384,216
3470,Vespa velutina,NA,"Chemin du Vallat, Aubagne, Provence-Alpes-Côte d'Azur, FR",inat,5.57,43.31,15.142307692307782,42.76923076923077,156
3471,Vespa velutina,BE,NA,gbif,2.96,51.15,11.550000000000011,74.3076923076923,1
3472,Vespa velutina,NA,"Brill, Schëffleng, Distrikt Lëtzebuerg, LU",inat,6,49.51,10.326923076923151,62.61538461538461,303
3473,Vespa velutina,BE,NA,gbif,4.97,51.15,NA,NA,21
3474,Vespa velutina,NA,"6290 Gouveia, Portugal",inat,-7.59,40.49,12.811538461538476,99.07692307692308,662
3475,Vespa velutina,NA,"Zoo Lyon, Lyon, Auvergne-Rhône-Alpes, FR",inat,4.85,45.78,NA,NA,204
3476,Vespa velutina,BE,NA,gbif,5.56,50.83,11.211538461538453,60.23076923076923,99
3477,Vespa velutina,NA,"Torelló, Barcelona, Espanya",inat,2.26,42.05,12.788461538461604,81.53846153846153,526
3478,Vespa velutina,NA,"Sint-Stevens-Woluwe, Zaventem, België",inat,4.46,50.87,11.25,55.15384615384615,48
3479,Vespa velutina,FR,NA,gbif,-0.18,48.74,11.450000000000044,62.61538461538461,176
3480,Vespa velutina,NA,"Rue Mouffetard, Paris, Île-de-France, FR",inat,2.35,48.84,12.41153846153844,52.15384615384615,46
