id,occurrence_id,latitude,longitude
353,1557,52.75,6.35
354,599,52.4,6.35
355,2500,48.08,16.95
356,1339,52.15,6.1
357,2129,51.7,5.85
358,2309,37.64,21.63
359,134,45.86,12.14
360,424,48.16,-0.2
361,2054,51.28,1.28
362,879,50.43,14.45
363,668,45.78,24.14
364,1824,47.85,13.01
365,49,41.78,13.01
366,1500,48.6,-1.29
367,193,52.95,6.75
368,303,45.24,9.67
369,191,48.15,16.25
370,1651,53.5,10.01
371,817,45.16,19.91
372,2109,49.04,10.98
373,1446,49.78,5.89
374,1316,49.45,8.45
375,1397,52.45,6.6
376,1559,52.35,4.9
377,1624,51.4,5.2
378,950,55.75,13.2
379,1437,37.16,-3.52
380,698,52,6.35
381,1787,50.92,6.2
382,1227,49.68,5.95
383,758,54.18,15.97
384,993,51.25,4.05
385,1464,39.65,19.82
386,251,52.62,1.32
387,643,50.26,-4.92
388,2195,52.61,-1.09
389,1346,48.16,4.99
390,2181,37.18,-7.89
391,1517,52.17,13.46
392,2250,51.44,-0.37
393,445,41.28,-7.91
394,95,48.77,16.74
395,379,53,6.5
396,1366,51.98,5.92
397,620,52.24,-1.88
398,448,52.09,7.62
399,242,52.51,13.42
400,1992,39.93,-0.38
401,407,51.8,4.8
402,1498,48.74,9
403,1465,52,5.65
404,218,48.93,9.03
405,2310,49.04,14.43
406,79,50.29,-5.09
407,1531,47.42,15.27
408,579,45.78,4.86
409,1831,47.4,-0.37
410,422,52.3,6.95
411,493,51.45,5.6
412,730,49.64,7.88
413,1820,51.34,9.78
414,2147,51.3,14.01
415,877,41.64,-8.71
416,1065,52.15,5.1
417,904,41.78,13.01
418,848,39.34,-7.29
419,450,51.35,12.36
420,1256,46.97,15.39
421,1358,49.22,17.68
422,1864,48.04,-4.74
423,2454,55.66,13.08
424,201,49,12.1
425,52,48.99,21.24
426,1249,48.82,11.45
427,2383,52.3,4.8
428,577,51.3,4
429,457,59.76,18.71
430,1015,47.96,7.83
431,2354,50,14.27
432,1565,45.93,13.47
433,1044,54.26,9.63
434,1230,54.52,9.52
435,2004,47.27,11.33
436,606,36.99,-3.58
437,839,51.65,6.52
438,2041,51.79,5.92
439,499,40.74,15.2
440,2386,47.8,13.8
441,1658,53.76,9.99
442,2412,41.91,-8.49
443,71,51.8,5.25
444,1796,37.97,-4.99
445,81,52.28,10.51
446,2376,52.2,6.1
447,896,49.56,14.06
448,1774,51.65,5.25
449,2329,52.25,4.5
450,2229,51.85,5.65
451,1670,48.09,10.86
452,628,47.98,18.88
453,1070,52.33,10.43
454,64,57.57,18.31
455,531,53.2,6.55
456,229,52.2,6.05
457,1634,48.23,14.86
458,1153,47.93,16.61
459,1244,48.1,-1.8
460,1716,50.93,4.33
461,2274,44.61,-0.95
462,836,51.21,10.05
463,2094,49.45,11.14
464,602,50.91,-0.17
465,2222,55.69,13.06
466,331,51.55,4.2
467,901,40.6,-3.59
468,502,51.87,12.61
469,1508,51.54,-2.4
470,1811,49.72,10.01
471,291,48.45,16.46
472,1953,44.09,28.64
473,743,52.05,5.05
474,1733,51.94,-2.18
475,829,49.49,8.53
476,2349,52.55,6.25
477,1193,51.41,7.34
478,729,52.42,19.36
479,2245,43.67,10.65
480,1585,46.94,15.38
481,1365,50.55,13.5
482,69,51.7,5.35
483,1344,47.3,-1.49
484,504,46.87,15.86
485,1100,51.31,-2.84
486,1026,51.93,7.7
487,886,53.1,6.1
488,786,52.4,4.6
489,2057,47.6,7.55
490,1130,50.12,14.39
491,1135,41.92,12.47
492,855,51.65,5
493,2449,48.08,11.96
494,1096,51.95,5.9
495,449,43.82,4.75
496,888,46.81,15.89
497,971,52.05,5.25
498,2494,51.85,5.1
499,2372,48.71,9.01
500,2433,48.92,9.37
501,3992,51.25,5.55
502,4584,50.84,3.47
503,3693,45.65,5.13
504,3599,43.7,4
505,4860,43.49,-8.22
506,3171,50.86,4.07
507,4302,43.55,1.47
508,3663,48.7,2.1
509,3334,50.99,4.15
510,4666,51.19,4.72
511,3291,50.93,5.06
512,2542,50.93,3.19
513,2680,51.82,4.66
514,4983,50.97,4.38
515,2760,51.05,3.66
516,2673,38.74,-9.14
517,3431,41.4,2.19
518,4799,51.75,4.65
519,3702,41.6,2.24
520,4068,43.44,-8.23
521,4488,39.51,-8.05
522,4246,48.52,1.71
523,4016,47,6.95
524,2517,46.35,-0.46
525,4750,51.12,3.24
526,3507,51.17,4.48
527,4120,50.81,4.39
528,3331,51.8,4.4
529,2787,41.14,-7.9
530,2570,52.1,5.1
531,3558,51.04,3.75
532,3864,50.98,3.08
533,4497,47.96,-0.65
534,2895,50.82,4.71
535,4934,49.76,6.25
536,2857,48.31,4.18
537,3937,42.78,-7.47
538,4167,51.3,3.45
539,2621,48.49,7.71
540,2888,50.85,5.8
541,4927,49.63,6.14
542,3635,41.68,2.42
543,4873,49.96,6.14
544,3542,51.1,2.64
545,4508,50.92,3.93
546,4412,50.84,4.29
547,4220,52.35,4.6
548,3407,51.31,4.43
549,2979,50.8,5.8
550,2663,50.6,4.24
551,4719,38.7,-9.38
552,4150,49.26,7.56
553,3448,51.1,3.77
554,3717,50.97,7.09
555,4362,42.86,-2.64
556,2526,43.11,0.12
557,2752,44.27,8.03
558,3272,49.45,8.67
559,2838,51.15,3.81
560,4408,51.11,4.69
