"longitude","latitude"
11.040338,49.32394
3.594215,51.246364
6.15,51.35
7.126867,50.952499
5.7,51.9
5.35,52.05
7.496073,50.499728
9.492142,48.890644
3.71616,50.99696
5.25,51.65
4.7,51.6
5.5,51.4
11.865709,49.439025
3.389864,50.623432
3.10457,51.11495
5.7,52.8
2.383,49.84138
10.940495,53.150169
3.85,51.75
4.31109,50.87229
-0.165136,51.549592
4.67309,51.35007
5.1,52.2
-0.747171,43.593462
3.1941,51.20851
3.7,51.25
4.535181,50.770162
3.193437,51.156794
6.137147,49.628363
4.402092,50.689794
-5.390974,43.432794
6.55679,46.65531
4.3,52.05
9.997287,54.264704
4.75,51.8
5.85,51.8
3.99557,50.81585
3.49992,50.85721
4.11952,51.01394
4.85975,51.32297
2.707629,50.825477
5.8,51.1
7.40575,47.01854
7.521917,49.31971
4.22857,50.73864
5.56474,50.63499
7.968399,47.512775
4.57933,51.24694
4.66662,51.05259
5.984101,51.031704
9.467419,53.884263
-2.494915,51.510232
3.76644,51.05701
4.04033,51.20791
8.291862,49.470642
4.1,51.7
5.59126,51.03975
3.887422,50.604949
6.4,52.5
4.45,51.45
3.28601,50.77932
2.92806,51.21929
4.85,51.65
3.85,51.3
4.0141,50.99329
5.15,52.15
4.43504,51.15218
2.64132,51.09992
3.65324,50.90696
8.379413,50.689304
4.36082,50.84061
3.75724,50.86199
7.040098,50.99126
6.349221,49.817489
3.13079,51.02499
8.832691,49.411175
4.95063,51.165
4.45001,51.17265
6.257488,49.55016
4.29812,50.86055
3.1914,51.29317
8.430765,50.169437
5.65,51.95
5.75,51.55
3.71491,51.04253
3.67387,50.47208
3.6993,51.05872
4.37101,50.93219
5.45,51.85
3.14748,50.84876
6.75,51.95
4.8512,50.98878
10.250184,48.895938
6.05,52.35
3.8,51.3
27.44797,57.788214
10.004382,52.083123
6.25,52.15
4.35755,51.00756
4.15879,51.16734
12.191893,53.430862
4.01077,51.08512
5.45,51.35
6.2,52.1
6.68174,47.06102
6.55,52.55
14.547655,52.354065
4.35814,50.95936
5.55,51.35
5.45743,50.77675
4.72045,50.87473
5.46209,50.53621
3.8002,51.11087
3.97514,50.95118
7.001268,50.900211
5.85,51.6
8.732998,50.125392
5.67133,50.88712
5.1,51.6
10.72899,48.259823
6.96035,51.43557
8.627904,49.868221
6.15,52.8
23.938722,54.305692
8.645239,52.304367
5.5,52.1
0.093842,47.881905
13.261756,52.434204
11.055625,49.26366
4.6994,50.61515
3.86728,50.76128
7.27395,47.10838
8.456446,49.030102
3.25506,50.76641
4.39791,50.83539
2.93066,50.97415
3.03486,51.26658
4.89278,50.242849
4.75121,50.9459
