occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color,NDVI
3001,Vespa velutina,NA,Cessange Luxembourg,inat,6.1,49.59,0.9220864295959472,866,293,114,Cool Temperate,Moist,Grassland,Hills,Cool Temperate Moist,22,124,10,Cool Temperate Moist Grassland on Hills,#167C0A,0.5305
3015,Vespa velutina,NL,NA,gbif,4.6,52.35,0.9709492683410644,828,7,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500,0.6179041666666667
3019,Vespa velutina,NA,"4580 Gondalães, Portugal",inat,-8.33,41.23,1.3848312377929688,1346,219,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625,0.5943416666666667
3021,Vespa velutina,NA,"Frankfurt (Main) Schule Am Hang, 60388 Frankfurt am Main, Deutschland",inat,8.75,50.15,1.014552116394043,674,140,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E,0.23222916666666665
3032,Vespa velutina,BE,NA,gbif,5.04,51.03,1.056958293914795,792,29,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.36770416666666667
3039,Vespa velutina,BE,NA,gbif,3.23,50.83,1.0392760276794433,754,16,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.5879375
3040,Vespa velutina,NA,"Rue de Sanem, Zolwer, Distrikt Lëtzebuerg, LU",inat,5.94,49.53,0.9034072875976562,936,316,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E,0.49277916666666666
3044,Vespa velutina,BE,NA,gbif,3.26,50.83,1.0392760276794433,754,19,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.6229458333333333
3064,Vespa velutina,BE,NA,gbif,5.45,51.02,0.9895999908447266,799,79,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6305708333333333
3066,Vespa velutina,BE,NA,gbif,4.92,50.8,1.0242583274841308,751,55,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5789791666666667
3090,Vespa velutina,BE,NA,gbif,3.79,51.2,1.0463364601135254,769,5,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6229875
3098,Vespa velutina,NA,"Piste cyclable 16, Moestroff, Distrikt Diekirch, LU",inat,6.24,49.87,0.8926301956176758,842,273,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.5997125
3099,Vespa velutina,BE,NA,gbif,4.46,51.16,1.039146900177002,785,16,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6346166666666667
3102,Vespa velutina,NA,"Antiguo, Donostia, Gipuzkoa, Spain",inat,-2.01,43.32,1.3299004554748537,1333,24,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903,0.6739916666666667
3105,Vespa velutina,BE,NA,gbif,4.48,51.23,1.0570364952087403,798,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.627825
3122,Vespa velutina,BE,NA,gbif,3.76,50.95,1.0391103744506835,795,28,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.4749916666666667
3128,Vespa velutina,NL,NA,gbif,5.65,51.8,0.9760427474975586,755,7,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5787083333333334
3129,Vespa velutina,NA,"30120 Pommiers, France",inat,3.62,43.94,1.1718375205993652,783,473,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903,0.462275
3130,Vespa velutina,NL,NA,gbif,5.45,51.6,0.9877718925476074,767,10,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.41101666666666664
3134,Vespa velutina,BE,NA,gbif,4.29,51.22,1.0467052459716797,796,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.4727541666666667
3137,Vespa velutina,NL,NA,gbif,4.1,51.3,1.0351354598999023,797,-5,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.3773166666666667
3138,Vespa velutina,BE,NA,gbif,4.38,50.84,1.0497979164123534,783,68,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34,0.622825
3148,Vespa velutina,BE,NA,gbif,4.47,51.08,1.039146900177002,785,6,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.597325
3157,Vespa velutina,BE,NA,gbif,3.22,50.92,1.0385656356811523,780,16,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6672333333333333
3160,Vespa velutina,NA,"Veyrières, 81000 Albi, France",inat,2.14,43.91,1.2989093780517578,715,189,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34,0.6827208333333333
3161,Vespa velutina,NA,"83740 La Cadière-d'Azur, France",inat,5.74,43.22,1.3581218719482422,715,197,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625,0.3674375
3164,Vespa velutina,NL,NA,gbif,5.4,51.3,0.9916239738464356,777,32,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6312583333333334
3167,Vespa velutina,CH,NA,gbif,7.6,47.58,1.0200145721435547,805,254,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.5312916666666667
3171,Vespa velutina,BE,NA,gbif,3.78,51.06,1.0652593612670898,792,7,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.35559583333333333
3178,Vespa velutina,BE,NA,gbif,4.84,50.83,1.0242583274841308,751,70,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5370083333333333
3185,Vespa velutina,BE,NA,gbif,4.18,51.09,1.0402281761169434,786,4,166,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,45,158,6,Warm Temperate Moist Forest on Plains,#2D9E06,0.2491875
3188,Vespa velutina,NA,"Rue de Molsheim, Strasbourg, Grand Est, FR",inat,7.74,48.58,1.061342716217041,735,141,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.460825
3190,Vespa velutina,NA,"9650 Esch-sur-Sûre, Luxembourg",inat,5.94,49.91,0.8336134910583496,929,411,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.49441666666666667
3191,Vespa velutina,NA,"Venlo, Bremweg, 5915 GM Venlo, Nederland",inat,6.19,51.36,1.0059072494506835,734,39,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.5805958333333333
3195,Vespa velutina,BE,NA,gbif,4.46,51.22,1.0570364952087403,798,4,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.39474583333333335
3197,Vespa velutina,BE,NA,gbif,2.68,50.89,1.004269790649414,711,20,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6945083333333333
3213,Vespa velutina,BE,NA,gbif,4.04,50.98,1.040187454223633,782,6,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36,0.3780833333333333
3216,Vespa velutina,NA,"76307 Karlsbad, Deutschland",inat,8.47,48.89,0.9595218658447264,1036,304,103,Cool Temperate,Moist,Cropland,Mountains,Cool Temperate Moist,33,102,5,Cool Temperate Moist Cropland on Mountains,#216605,0.6058250000000001
3237,Vespa velutina,NA,"Lisbon, Portugal",inat,-9.16,38.77,1.6865142822265624,703,111,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34,0.5780916666666667
3238,Vespa velutina,NL,NA,gbif,5.45,51.45,0.9980051994323732,773,20,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.7082958333333333
3251,Vespa velutina,NA,"67105 Schifferstadt, Deutschland",inat,8.4,49.37,1.051504135131836,669,103,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36,0.5616333333333333
3257,Vespa velutina,NA,"42400 Saint-Chamond, France",inat,4.51,45.46,0.9177802085876464,980,461,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912,0.3259333333333333
3263,Vespa velutina,NL,NA,gbif,6.1,51.35,1.005424976348877,735,25,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5922791666666667
3269,Vespa velutina,NA,"2670 Fanhões, Portugal",inat,-9.18,38.9,1.5595458030700684,737,243,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625,0.33015
3271,Vespa velutina,BE,NA,gbif,4.29,50.76,1.0301885604858398,788,52,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.490475
3273,Vespa velutina,BE,NA,gbif,5.51,50.8,0.9857937812805176,820,90,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.36971666666666664
3283,Vespa velutina,NA,"Spei, Waregem, West-Vlaanderen, BE",inat,3.44,50.89,1.0440187454223633,791,14,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.7094958333333333
3298,Vespa velutina,NL,NA,gbif,4.65,51.75,0.9967260360717772,816,0,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5580041666666666
3309,Vespa velutina,NA,"60200 Compiègne, France",inat,2.84,49.42,1.0223468780517575,633,50,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34,0.3822875
3313,Vespa velutina,BE,NA,gbif,3.21,51.21,1.029801559448242,783,5,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6676708333333333
3317,Vespa velutina,BE,NA,gbif,3.56,50.96,1.0466250419616698,795,9,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.4798458333333333
3326,Vespa velutina,BE,NA,gbif,3.14,50.79,1.0312749862670898,735,18,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5249625
3328,Vespa velutina,NA,"Bassella, Lleida, Espanya",inat,1.3,42.02,1.1236353874206544,719,496,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903,0.42547083333333335
3332,Vespa velutina,NA,"26001 Logroño, La Rioja, España",inat,-2.44,42.47,1.2656895637512209,440,392,191,Warm Temperate,Dry,Settlement,Hills,Warm Temperate Dry,173,187,99,Warm Temperate Dry Settlement on Hills,#ADBB63,0.5388083333333333
3333,Vespa velutina,NL,NA,gbif,5.95,50.9,0.9916646003723144,781,87,108,Cool Temperate,Moist,Settlement,Hills,Cool Temperate Moist,67,109,14,Cool Temperate Moist Settlement on Hills,#436D0E,0.5782083333333333
3336,Vespa velutina,BE,NA,gbif,3.7,51.04,1.0652593612670898,792,9,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.4999875
3346,Vespa velutina,NA,"06130 Grasse, France",inat,6.92,43.66,1.4293789863586426,851,405,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625,0.6292791666666666
3353,Vespa velutina,NA,"Institut Pasteur, 69007 Lyon, France",inat,4.83,45.73,1.1392176628112791,829,185,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.5945083333333333
3357,Vespa velutina,NA,"Via Pantano (Incr. Via Forniccioni), 51030 Serravalle Pistoiese PT, Italia",inat,10.9,43.89,1.3806374549865723,1061,96,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625,0.607975
3364,Vespa velutina,NL,NA,gbif,5.75,50.9,1.0079051971435546,754,68,114,Cool Temperate,Moist,Grassland,Hills,Cool Temperate Moist,22,124,10,Cool Temperate Moist Grassland on Hills,#167C0A,0.6917166666666666
3367,Vespa velutina,NL,NA,gbif,5.2,52.1,0.9599833488464355,815,5,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6473708333333333
3368,Vespa velutina,NA,"55100 Lucca LU, Italia",inat,10.47,43.85,1.2429478645324707,1272,7,161,Warm Temperate,Moist,Settlement,Plains,Warm Temperate Moist,163,170,28,Warm Temperate Moist Settlement on Plains,#A3AA1C,0.6189208333333334
3371,Vespa velutina,NL,NA,gbif,5.75,51.35,0.9874812126159668,737,27,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.66545
3389,Vespa velutina,BE,NA,gbif,3.31,51.34,1.033952713012695,766,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.6337958333333333
3392,Vespa velutina,NA,"41372 Niederkrüchten-Oberkrüchten, Deutschland",inat,6.2,51.2,1.001157283782959,734,71,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5452416666666666
3397,Vespa velutina,BE,NA,gbif,3.93,51.18,1.0390030860900878,773,4,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5175541666666666
3398,Vespa velutina,NA,"Pas-de-Calais, Nord-Pas-de-Calais, FR",inat,2.84,50.33,0.9974603652954102,691,90,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.6897833333333333
3401,Vespa velutina,BE,NA,gbif,4.04,50.93,1.040187454223633,782,12,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.4081875
3405,Vespa velutina,BE,NA,gbif,3.29,50.81,1.0392760276794433,754,30,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.4708041666666667
3408,Vespa velutina,NA,"76 Karlsruhe-Beiertheim - Bulach, Deutschland",inat,8.38,48.98,0.9595218658447264,1036,117,166,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,45,158,6,Warm Temperate Moist Forest on Plains,#2D9E06,0.3691375
3411,Vespa velutina,BE,NA,gbif,3.88,51.03,1.0463322639465331,779,4,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36,0.6049541666666667
3413,Vespa velutina,SE,NA,gbif,17.27,63.16,0.24351353645324708,619,66,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000,0.5359083333333333
3420,Vespa velutina,BE,NA,gbif,3.76,51.04,1.0652593612670898,792,8,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5309208333333333
3421,Vespa velutina,NA,"Rumst, 2840 Rumst, Belgium",inat,4.45,51.09,1.039146900177002,785,14,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5775
3425,Vespa velutina,NA,"Vlaanderen, BE",inat,4.77,50.9,1.0381396293640135,765,51,102,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,99,97,160,Cool Temperate Moist Cropland on Tablelands,#6361A0,0.6369083333333333
3436,Vespa velutina,NA,"Mairie, 38530 Chapareillan, France",inat,5.99,45.46,0.8234000205993652,1197,385,176,Warm Temperate,Moist,Forest,Mountains,Warm Temperate Moist,49,105,3,Warm Temperate Moist Forest on Mountains,#316903,0.46544583333333334
3445,Vespa velutina,NA,"17534 Ribes de Freser, Girona, Spain",inat,2.17,42.3,0.9148791313171388,930,1194,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000,0.6081208333333333
3448,Vespa velutina,NA,"30880 Laatzen, Deutschland",inat,9.82,52.27,0.9314374923706056,676,58,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00,0.6206
